Ouvrage,Latitude,Longitude,Region
10007530,-28.8888,153.4149,NSW
10007541,-35.6731,144.6494,NSW
10007549,-31.3184,150.4615,NSW
10007551,-34.5840043,146.2605355,NSW
10007572,-34.5840043,146.2605355,NSW
10007632,-30.9873299,150.4421686,NSW
10007633,-33.9321167,151.2289667,NSW
10007640,-30.5206,150.0534,NSW
10007642,-30.9873299,150.4421686,NSW
10007649,-36.7191,149.9259,NSW
10007650,-32.2468,150.6234,NSW
10007672,-33.3537808,145.0300354,NSW
10007675,-34.69664,146.34222,NSW
10007719,-30.5039472,150.0554556,NSW
10007721,-30.2603,145.6973,NSW
10007726,-33.2377,145.5133,NSW
10007727,-30.5142,150.0554,NSW
10007732,-34.7434,146.28944,NSW
10007733,-33.91135,151.2173667,NSW
10007742,-34.719517,145.432524,NSW
10007798,-33.2566512,147.5064455,NSW
10007799,-30.5335372,150.0227333,NSW
10007800,-29.8576002,149.1472604,NSW
10007809,-33.3748882,145.5656662,NSW
10007810,-30.9133,150.2944,NSW
10007812,-34.452593,145.9676598,NSW
10007815,-33.3365801,145.7432794,NSW
10007817,-34.843673,146.0272101,NSW
10007829,-32.2511,150.6298,NSW
10007830,-35.6277,149.8037,NSW
10007840,-30.8281518,149.9583634,NSW
10007975,-30.666381,150.0614328,NSW
10007976,-34.6736638,145.6233507,NSW
10008122,-33.939383,151.213275,NSW
10008134,-32.5382696,149.9981142,NSW
10008249,-33.9061861,151.2270417,NSW
10008252,-32.263,150.6343,NSW
10008300,-30.1894,149.5448,NSW
10008306,-33.97295,151.1414167,NSW
10008359,-32.6244,149.6382,NSW
10008424,-33.4006,148.1656,NSW
10008439,-34.6736638,145.6233507,NSW
10008450,-33.8279194,142.0287194,NSW
10008496,-32.6955,151.0071,NSW
10008537,-32.5400955,142.1740301,NSW
10008576,-32.3955,150.5796,NSW
10008766,-34.62768,145.96701,NSW
10008784,-32.45599,150.15392,NSW
10008812,-31.0616,151.0537,NSW
10008892,-32.3296611,142.2836055,NSW
10009012,-34.6809453,146.228662,NSW
10009034,-35.1037285,147.4948138,NSW
10009057,-34.8595774,145.7469149,NSW
10009075,-29.4178733,149.6383614,NSW
10009122,-32.5079,149.5708,NSW
10009198,-30.2603,145.6973,NSW
10009228,-33.4778641,145.6525742,NSW
10009360,-35.6357,149.8213,NSW
10009363,-30.1826,147.5143,NSW
10009398,-30.2831528,149.4811417,NSW
10009401,-31.4252,150.5458,NSW
10009413,-30.1577,149.3089,NSW
10009414,-31.0779,150.4389,NSW
10009415,-34.7434,146.28944,NSW
10009417,-33.3581442,145.3388832,NSW
10009499,-33.2566512,147.5064455,NSW
10009502,-34.6654242,145.9076685,NSW
10009768,-33.3581442,145.3388832,NSW
10009912,-33.76395,142.2503166,NSW
10009942,-33.9407333,151.2013167,NSW
10009943,-34.0224,151.19785,NSW
10009949,-33.4515,148.0818,NSW
10010075,-29.4178733,149.6383614,NSW
10010183,-31.5812,143.494,NSW
10010185,-30.2551,145.6667,NSW
10010283,-30.2551,145.6667,NSW
10010331,-30.496,150.0824,NSW
10010351,-33.920444,151.221356,NSW
10010352,-34.0251167,151.1997833,NSW
10010373,-33.5628417,147.5339263,NSW
10010523,-33.4778641,145.6525742,NSW
10010526,-30.2853,145.7364,NSW
10010920,-33.5848787,145.2971507,NSW
10010943,-31.124,150.999,NSW
10011075,-33.4515,148.0818,NSW
10011076,-33.4515,148.0818,NSW
10011134,-29.4702059,150.1324098,NSW
10011136,-35.97685,146.54393,NSW
10011148,-33.5628417,147.5339263,NSW
10011379,-33.4029556,145.3201174,NSW
10011385,-31.1289,150.9919,NSW
10011863,-31.0665,151.0577,NSW
10012061,-30.2519,145.6791,NSW
10012368,-33.1422826,145.3467354,NSW
10012373,-33.1062213,145.3572707,NSW
10013192,-33.92515,151.1914,NSW
10013193,-33.98315,151.14245,NSW
10013491,-29.9633,146.3961,NSW
10013498,-33.3670013,145.1790051,NSW
10013901,-29.9726033,148.7492089,NSW
10014108,-30.4979,150.1568,NSW
10015038,-32.5261132,142.3031344,NSW
10015844,-29.9459361,148.8525404,NSW
10015869,-35.5326447,144.9723906,NSW
10016624,-34.6844583,144.2772249,NSW
10016706,-33.76594,147.4499263,NSW
10017363,-30.7764823,150.3778001,NSW
10017517,-33.5813611,142.4815444,NSW
10017786,-30.1634306,149.4555861,NSW
10017787,-29.3947184,149.8191712,NSW
10017789,-29.9031556,149.3272528,NSW
10017793,-29.4923148,150.131962,NSW
10017794,-29.4181499,149.9989045,NSW
10017795,-30.4671,150.0305,NSW
10018046,-32.2110055,142.6928555,NSW
10020352,-33.7588479,147.5300634,NSW
10020354,-32.7133777,142.0722277,NSW
10020656,-33.2105972,141.7620305,NSW
10021544,-35.109244,147.491412,NSW
10021709,-33.6034364,148.5319908,NSW
10022005,-35.1474138,143.5785583,NSW
10022277,-34.0740545,141.3385503,NSW
10022395,-32.3823861,142.4771805,NSW
10022966,-33.7638702,147.5175776,NSW
10022968,-33.7641172,141.7655046,NSW
10023156,-34.0740545,141.3385503,NSW
10023284,-33.2450892,147.385436,NSW
10024024,-29.9667707,148.6189334,NSW
10024502,-32.5285055,142.2219138,NSW
10024642,-33.6086392,148.531277,NSW
10024879,-33.9663622,147.5848169,NSW
10024915,-34.9864988,149.0112032,NSW
10024963,-34.0508836,141.3455443,NSW
10025202,-33.7569117,147.5500268,NSW
10025353,-32.6624861,142.1769638,NSW
10026693,-33.7569117,147.5500268,NSW
10026961,-32.6707722,142.4035916,NSW
10027169,-33.6086392,148.531277,NSW
10027174,-34.1554468,141.4797403,NSW
10027197,-29.2863895,149.6786229,NSW
10027278,-34.9544118,149.0266673,NSW
10027323,-34.9831653,149.0278695,NSW
10027422,-34.5665737,142.9457025,NSW
10027572,-35.0035393,149.0341021,NSW
10027872,-34.0967118,141.3034079,NSW
10027966,-34.1631192,141.5938625,NSW
10028608,-34.9864988,149.0109255,NSW
10028758,-34.1868724,141.5654221,NSW
10029257,-32.1409166,142.9146777,NSW
10029439,-34.983747,149.0359127,NSW
10029704,-34.0221627,141.0286552,NSW
10029874,-34.9542683,149.02662,NSW
10030626,-34.1631192,141.5938625,NSW
10031358,-33.9503699,141.2033452,NSW
10031988,-34.9831653,149.0278695,NSW
10033400,-34.0967118,141.3034079,NSW
10035523,-34.0689075,141.2957986,NSW
10037377,-34.6358416,142.9537724,NSW
10039692,-34.5480833,145.7269222,NSW
10039728,-34.5480833,145.7269222,NSW
10044116,-34.3301801,142.3538809,NSW
10046266,-34.8399916,146.0142888,NSW
10046275,-32.6023771,142.2455462,NSW
10046776,-34.8399916,146.0142888,NSW
10047577,-30.5573179,149.991693,NSW
10047579,-30.5142,150.0554,NSW
10047584,-29.9459361,148.8525404,NSW
10047697,-34.6807305,146.2117305,NSW
10048088,-35.107036,147.488131,NSW
10048191,-34.6807305,146.2117305,NSW
10048376,-34.8541777,145.2211222,NSW
10050394,-34.6807944,146.2117083,NSW
10052352,-32.2041461,142.5631714,NSW
10053237,-34.1106219,141.3463291,NSW
10053867,-29.9234364,148.7930968,NSW
10053995,-35.09954,147.468093,NSW
10054225,-34.1538503,142.1695619,NSW
10054677,-34.169523,142.1714814,NSW
10054883,-34.1766828,142.1629869,NSW
10054970,-34.6844333,144.2772277,NSW
10055031,-34.1766828,142.1629869,NSW
10055271,-34.3301627,142.3740778,NSW
10055391,-34.6806777,146.2117527,NSW
10055555,-29.3088836,149.8038919,NSW
10055697,-34.0500166,141.1579416,NSW
10056219,-35.099088,147.476863,NSW
10056266,-35.110163,147.254181,NSW
10056509,-35.103719,147.255267,NSW
10056755,-34.169523,142.1714814,NSW
10057419,-35.110079,147.254286,NSW
10057478,-35.099623,147.484944,NSW
10057764,-34.2829111,142.4301638,NSW
10057933,-34.9358472,146.0416888,NSW
10058319,-34.8400194,146.0142888,NSW
10058506,-35.12279,147.417679,NSW
10058539,-34.0957264,141.6243612,NSW
10058837,-34.9358472,146.0416888,NSW
10059026,-33.2645758,145.5276452,NSW
10059510,-32.3053945,142.4060836,NSW
10059552,-34.1490349,142.1571627,NSW
10059662,-32.2436183,142.5956025,NSW
10060341,-33.9033527,141.2824583,NSW
10060664,-33.861561,141.2826968,NSW
10061029,-32.3053945,142.4060836,NSW
10061447,-34.9358472,146.0416888,NSW
10062130,-34.1490349,142.1571627,NSW
10062201,-34.3397928,142.3701464,NSW
10062263,-35.103705,147.255234,NSW
10063471,-32.2436183,142.5956025,NSW
10063777,-35.0746249,147.2072972,NSW
10064737,-34.3397928,142.3701464,NSW
10065715,-34.8400194,146.0142888,NSW
10066254,-33.9750176,147.6204274,NSW
10067578,-34.76365,146.1039777,NSW
10067639,-34.2356027,142.4745277,NSW
10067802,-34.2356027,142.4745277,NSW
10068076,-34.9358472,146.0416888,NSW
10068716,-34.3327876,142.3748151,NSW
10069442,-34.100991,142.0419,NSW
10070105,-34.0459083,141.2936555,NSW
10070333,-34.3468206,142.3747184,NSW
10070597,-34.0509937,141.3448838,NSW
10071490,-34.0509937,141.3448838,NSW
10071816,-35.6587,149.8126,NSW
10072305,-34.3229895,142.3888062,NSW
10072346,-34.3221922,142.3520569,NSW
10072518,-34.2363666,142.4813027,NSW
10073095,-35.6389,149.8123,NSW
10073377,-33.3581442,145.3388832,NSW
10073802,-30.9320361,150.6436303,NSW
10074397,-34.0395499,141.2936138,NSW
10074689,-34.0522111,141.2933194,NSW
10075048,-34.0395499,141.2936027,NSW
10075401,-34.3311238,142.3590593,NSW
10075546,-34.1277182,141.481199,NSW
10075605,-30.9387008,150.8061262,NSW
10075741,-34.1247797,141.3862183,NSW
10075751,-32.3166797,142.4862857,NSW
10075806,-34.3300728,142.386847,NSW
10075950,-32.2225459,142.4831814,NSW
10075976,-32.2225459,142.4831814,NSW
10075985,-34.1666393,142.1589218,NSW
10076303,-34.1666393,142.1589218,NSW
10076353,-35.6587,149.8126,NSW
10076411,-34.0522111,141.2933305,NSW
10076876,-35.6389,149.8123,NSW
10077235,-34.0048982,141.401453,NSW
10077349,-34.1247797,141.3862183,NSW
10077394,-35.6389,149.7999,NSW
10077748,-33.9642416,141.3186055,NSW
10077793,-30.939537,150.5300214,NSW
10077915,-30.9344999,150.6420194,NSW
10077941,-34.1262993,141.4017113,NSW
10078040,-33.3957388,145.6710527,NSW
10078364,-32.429253,142.4844284,NSW
10078860,-34.6807944,146.2117083,NSW
10079073,-34.3466816,142.3750531,NSW
10079074,-34.0048982,141.401453,NSW
10079234,-35.0658014,145.3797645,NSW
10079236,-30.2628,145.6792,NSW
