date,GWL,P,T,ET,NDVI
2002-01-15,13.983870967741936,118.497802734375,12.955820312500009,27.40284629981025,0.68885
2002-02-15,14.0,73.60910797119136,12.822128906250043,21.825631768953077,0.7286500000000001
2002-03-15,14.0,64.16986119747158,12.651679687500007,14.760655737704921,0.7428499999999999
2002-04-15,14.083333333333334,53.01273465156549,9.149843750000002,10.55287009063444,0.7430498680738786
2002-05-15,13.829032258064517,119.69401001930231,4.984687500000007,6.095092024539878,0.7404
2002-06-15,13.8,306.84014081954956,2.443613281250009,4.4464,0.6372999999999999
2002-07-15,13.8,327.84232592582697,3.1739648437500136,4.848936170212767,0.6458999999999999
2002-08-15,13.716129032258063,193.615003824234,2.9455273437500296,7.403225806451613,0.57
2002-09-15,13.659999999999998,280.16415596008295,3.778964843750032,12.013580246913584,0.6359
2002-10-15,13.693548387096774,196.83291649818415,6.4848242187500205,15.632234432234435,0.504
2002-11-15,13.7,90.80068230628963,9.194082031250048,22.64229074889868,0.6727
2002-12-15,13.7,121.4018243551254,14.328242187500052,23.90826010544816,0.7155
2003-01-15,13.7,84.17474788427353,15.766191406250016,27.765137614678903,0.71365
2003-02-15,13.75357142857143,31.663471698760944,14.827382812500048,22.381711409395976,0.7142499999999999
2003-03-15,13.90967741935484,92.06146985292432,11.582011718750039,14.99634888438134,0.7289499999999999
2003-04-15,13.406666666666666,150.5419957637787,8.042304687500007,9.894019933554821,0.7432
2003-05-15,13.248387096774193,131.93592739105222,5.67253906250005,6.24006309148265,0.7229000000000001
2003-06-15,13.116666666666667,232.69817590713495,4.197734375000039,4.310526315789474,0.6558999999999999
2003-07-15,13.1,257.6190004348755,2.0783398437500296,4.988652482269504,0.612045382585752
2003-08-15,13.064516129032258,274.3349711894989,1.7204882812500273,6.95,0.6725
2003-09-15,13.04,313.1603264808654,2.8795898437500114,11.771428571428572,0.54875
2003-10-15,13.087096774193547,135.99646675586695,5.904628906250025,15.907119741100324,0.6788
2003-11-15,13.25,33.766576051711965,10.959980468750018,23.936183206106872,0.6782999999999999
2003-12-15,14.063636363636363,94.34119606018064,14.575683593750057,22.03278350515464,0.675
2004-01-15,13.983870967741936,176.46946585178375,10.73259765625005,23.763984674329507,0.6658155672823218
2004-02-15,13.920689655172414,59.087957024574266,12.428906250000011,21.635877862595425,0.7061253298153034
2004-03-15,14.196774193548388,75.6189301013946,9.896503906250018,13.916201117318435,0.7206984168865436
2004-04-15,14.006666666666666,96.51328325271604,7.504648437500009,9.393296089385474,0.72735
2004-05-15,14.0,222.6357078552246,4.976679687500052,5.731707317073171,0.6159
2004-06-15,13.943333333333333,357.64999866485596,3.131601562500009,4.58203125,0.60995
2004-07-15,13.861290322580645,229.78505802154535,2.2141406250000273,4.752895752895754,0.6114
2004-08-15,13.887096774193548,181.36175608634943,2.8537500000000477,7.707807807807808,0.6781999999999999
2004-09-15,13.93,150.42522311210627,4.988378906250034,12.415401785714288,0.69375
2004-10-15,13.516129032258064,121.67650258541107,9.92330078125002,17.36930693069307,0.6387503957783641
2004-11-15,13.5,156.0203862190246,10.307675781250055,21.70244648318043,0.6914
2004-12-15,13.5,73.52214717864985,14.037382812500027,26.209120000000002,0.7004791556728233
2005-01-15,13.5,83.95917713642118,14.357167968750048,26.625081433224764,0.7044926121372032
2005-02-15,13.553571428571429,79.74446368217468,11.740703125000039,20.19730250481696,0.7166499999999999
2005-03-15,13.6,64.00553762912747,10.846562500000005,14.442115768463076,0.7364
2005-04-15,,149.47352170944214,8.178242187500018,9.662403100775194,0.66725
2005-05-15,,144.05960762500757,4.685859375000007,6.2640167364016754,0.7358499999999999
2005-06-15,,116.53458952903748,3.6449804687500205,4.508786610878661,0.7163
2005-07-15,,236.42981886863708,2.2648632812500296,5.225465838509318,0.5061
2005-08-15,,287.23941564559937,2.669355468750041,7.837383177570094,0.6653500000000001
2005-09-15,,141.70740008354187,5.595273437500055,11.4420202020202,0.64955
2005-10-15,,236.95405340194696,9.302734375000057,18.28841607565012,0.7109
2005-11-15,,152.56369471549982,11.75705078125003,24.663349131121645,0.70905
2005-12-15,,246.15224862098694,12.004316406250041,22.89781420765028,0.7132609498680739
2006-01-15,,38.5681561231613,14.349179687500055,28.646829268292688,0.7183
2006-02-15,,70.86386489868161,12.393632812500016,23.105294117647066,0.7200498680738787
2006-03-15,14.117391304347825,88.73713266849515,12.464687500000025,14.610027100271001,0.7464
2006-04-15,13.9,247.52306699752808,5.432519531250023,8.344578313253013,0.595428759894459
2006-05-15,13.9,175.3012297153473,3.5841796875000114,5.774657534246575,0.75545
2006-06-15,13.906666666666666,105.31198024749756,2.490878906250032,4.843668122270742,0.6417
2006-07-15,13.9,162.36041057109833,2.7991210937500455,5.216666666666666,0.72945
2006-08-15,13.9,134.95415067672724,3.437988281250057,7.675730994152047,0.7200500000000001
2006-09-15,13.9,187.78879165649414,5.1537695312500205,12.614379084967323,0.6986
2006-10-15,13.903225806451612,107.88401019573209,7.45382812500003,17.08159645232816,0.6979
2006-11-15,14.07,68.80568861961359,9.740976562500009,22.439355992844362,0.6702000000000001
2006-12-15,14.041935483870969,78.64975869655605,12.281484375000048,22.73699690402477,0.6920000000000001
2007-01-15,14.0,135.21089100837708,14.129921875000036,26.17192429022082,0.7027875989445911
2007-02-15,14.060714285714285,23.983158230781523,15.95138671875003,24.870740103270226,0.7220000000000001
2007-03-15,14.083870967741934,122.45554840564722,11.423144531250045,14.217201834862387,0.7373
2007-04-15,14.1,56.028878688812256,9.249335937500007,10.245664739884393,0.7400477572559366
