date,GWL,P,T,ET,NDVI
2002-01-15,37.26,11.763697206974006,27.104375000000005,4.381043129388165,0.27315
2002-02-15,37.15,6.212901502847626,26.11320312500004,4.192929292929293,0.28125
2002-03-15,37.14,7.45996516942974,22.702968750000025,4.002683178534572,0.2935
2002-04-15,,11.108141317963584,17.568789062500002,3.467153284671533,0.30965
2002-05-15,37.21,23.93144890666005,12.247890625000025,4.599107142857143,0.34375
2002-06-15,,31.59833192825313,7.878339843750041,5.7797734627831705,0.36515
2002-07-15,37.24,15.8557831048965,8.099843750000048,5.463275862068965,0.38505
2002-08-15,37.24,15.93167826533314,9.938027343750036,4.448598130841122,0.3775
2002-09-15,37.14,19.91509482264516,15.342148437500043,5.305943536404161,0.32995
2002-10-15,37.17,7.0611656606196895,19.903105468750027,4.219508448540707,0.2939
2002-11-15,37.07,25.232226848602267,24.91285156250001,4.073953974895399,0.25305
2002-12-15,37.18,24.7102064788341,27.794257812500007,2.7932112068965513,0.23155
2003-01-15,37.26,2.288526607677317,29.645527343750018,2.3672216441207077,0.21315
2003-02-15,37.13,66.65354990959163,28.00533203125002,3.0128860489882854,0.22475
2003-03-15,37.2,2.747247934341403,22.278398437500016,3.762251655629139,0.25755
2003-04-15,37.15,15.244360417127591,17.026464843750034,3.9472924187725633,0.272
2003-05-15,37.15,37.5164608955383,11.131601562500009,4.9978346456692915,0.35025
2003-06-15,37.185,56.306798458099344,8.891679687500016,6.377988614800759,0.3986
2003-07-15,37.09,25.068121880292857,7.681425781250027,6.009090909090911,0.4418
2003-08-15,37.18,63.81338703632349,7.860820312500039,7.697159090909089,0.4668
2003-09-15,37.23,31.708798706531518,12.274082031250032,9.821266968325794,0.43505
2003-10-15,37.22,35.33200067281716,15.865527343750045,9.207631160572337,0.3814
2003-11-15,37.15,7.730965912342032,24.96062500000005,4.913877118644068,0.2844
2003-12-15,37.215,33.002950787544194,28.08125000000001,3.305816326530613,0.25435
2004-01-15,37.09,4.801662549376483,26.787128906250018,4.654249737670514,0.24235
2004-02-15,37.22,5.0957722552120135,27.29707031250001,2.686847599164927,0.2495
2004-03-15,37.22,10.270085133612099,22.049667968750043,4.1801752464403075,0.26455
2004-04-15,37.18,3.8617064058780004,17.561269531250048,4.468636363636363,0.279
2004-05-15,37.22,14.91362768411636,10.242167968750039,5.5452830188679245,0.3023
2004-06-15,37.175,53.361893892288165,9.151640625000027,6.478892215568862,0.38195
2004-07-15,37.22,31.761757403612084,7.806738281250034,6.403014184397164,0.4315
2004-08-15,37.15,48.10381776094431,9.596347656250032,7.054773869346734,0.46065
2004-09-15,37.224999999999994,30.116803050041185,12.917792968750007,9.73756345177665,0.4195
2004-10-15,37.2,4.622821256518325,21.190429687500057,6.772448979591836,0.3
2004-11-15,,49.3832820653915,24.684375000000045,4.5796536796536795,0.2554
2004-12-15,37.2,46.64864176511763,27.419257812500007,4.385090521831737,0.25935
2005-01-15,37.26,33.97905850410454,28.393789062500048,4.370141700404859,0.26525
2005-02-15,37.21,12.719978213310213,24.303339843750052,5.195738045738046,0.28275
2005-03-15,37.21,4.095110077410907,22.751054687500016,3.936170212765957,0.2734
2005-04-15,,8.236020505428288,17.962695312500045,3.5687285223367704,0.2958
2005-05-15,37.2,2.270755698904344,11.809316406250048,4.717670682730923,0.3081
2005-06-15,37.32,65.85352599620815,8.527265625000041,6.159652173913043,0.35985
2005-07-15,37.31,24.55752369761467,8.359355468750039,6.087450199203189,0.3897
2005-08-15,37.12,35.970220685005174,9.08220703125005,6.641076923076922,0.47375
2005-09-15,37.3,38.076201975345555,13.784765625000034,9.698856416772555,0.47265
2005-10-15,37.22,74.30800008773798,17.68351562500004,9.774121405750797,0.3926
2005-11-15,37.16,23.431608974933567,23.641230468750052,6.851224707135251,0.31865
2005-12-15,37.325,17.76057203114028,27.238085937500045,4.034053497942387,0.27115
2006-01-15,37.35,21.968839913606594,29.228105468750016,3.71137339055794,0.2645
2006-02-15,37.22,6.36542335152622,25.595507812500045,3.8924819773429458,0.26755
2006-03-15,37.34,13.702355280518503,25.73875000000004,4.554607508532423,0.27565
2006-04-15,37.3,40.981712937355006,13.296914062500036,4.6812834224598925,0.32545
2006-05-15,37.36,19.80064630508416,9.879511718750052,6.345709828393137,0.38875
2006-06-15,37.315,6.0158447921275915,6.807539062500041,6.0,0.38985
2006-07-15,37.37,32.41732773184771,7.546250000000043,5.939473684210526,0.42745
2006-08-15,37.32,5.5042020678519545,10.527949218750052,6.088850771869641,0.4108
2006-09-15,37.3,15.914278328418717,16.438417968750002,5.281129476584023,0.32585
2006-10-15,37.24,0.46938451286405325,20.844726562500057,3.7562589928057566,0.2703
2006-11-15,37.26,13.592900186777088,25.498476562500002,3.6409523809523807,0.242
2006-12-15,37.29,14.785627529025014,27.913945312500005,2.6614090431125135,0.23475
2007-01-15,37.3,65.29997098445891,28.022558593750034,4.529555084745763,0.2342
2007-02-15,37.32,16.4281171560287,29.595605468750023,3.349396378269618,0.25785
2007-03-15,37.3,21.924765676259973,21.963242187500043,4.318378995433789,0.26985
2007-04-15,37.34,52.82312393188475,18.808144531250036,3.6845626072041164,0.2951
2007-05-15,37.32,46.534584224224076,12.293203125000048,6.071141975308642,0.39305
2007-06-15,37.365,13.025128841400097,7.053632812500041,6.063464337700147,0.43495
2007-07-15,37.21,43.56583982706063,6.995449218750025,6.704307692307694,0.4941
2007-08-15,37.22,5.058924984186886,9.961835937500041,7.540194714881782,0.4518
2007-09-15,37.385,15.264945030212353,14.360253906250023,7.310990502035279,0.3692
2007-10-15,37.18,9.428251124918429,18.978027343750057,5.333530280649925,0.3061
2007-11-15,37.42,36.680991947650874,28.139394531250048,4.555015511892451,0.24455
2007-12-15,37.37,26.23850047588344,28.82296875000003,3.8963579604578564,0.2391
2008-01-15,37.4,22.35776138305661,29.604160156250032,3.548807157057654,0.242
2008-02-15,37.33,0.8592315874993248,26.702968750000025,3.401547987616099,0.2449
2008-03-15,37.3,3.7713524177669777,25.82218750000004,1.9534711964549485,0.2458
2008-04-15,37.345,15.928826630115456,16.883320312500018,3.7136111111111116,0.2667
2008-05-15,37.33,26.36756631731984,11.053906250000011,5.2123867069486405,0.30875
2008-06-15,37.32,26.1600941419601,9.50017578125005,6.118669131238448,0.3711
2008-07-15,37.35,33.87402811646455,7.5154296875000455,6.212913907284769,0.43895
2008-08-15,37.37,42.39801388978953,8.039433593750005,7.09781976744186,0.4695
2008-09-15,37.43,10.2934484928846,13.891035156250041,7.756410256410257,0.39155
2008-10-15,37.37,6.883217521011764,20.08689453125004,4.662788144895719,0.2816
2008-11-15,37.31,23.74645739793775,24.434570312500057,4.469175108538351,0.2385
2008-12-15,37.35,50.34995752573013,23.763710937500036,4.5486427795874045,0.24105
2009-01-15,37.31,0.8372945347800408,29.674414062500034,2.6333998005982058,0.2286
2009-02-15,37.36,0.8591819331049249,28.86003906250005,2.693305439330544,0.23325
2009-03-15,37.34,9.180330768227577,22.421992187500052,3.712659574468085,0.2438
2009-04-15,37.35,36.5755087137222,17.553339843750052,4.091240875912409,0.27525
2009-05-15,37.36,31.019887268543194,11.892773437500011,6.033982300884955,0.3374
2009-06-15,37.32,36.00949019193648,8.38179687500002,6.290422535211269,0.43415
2009-07-15,37.36,34.80223399400705,8.333398437500023,6.676533333333333,0.49955
2009-08-15,37.41,28.25006729364391,10.581953125000041,7.61109625668449,0.45865
2009-09-15,37.35,57.86485075950616,13.735839843750057,8.2903125,0.39125
2009-10-15,37.39,18.67913129925723,19.88005859375005,6.771023622047244,0.3394
2009-11-15,37.38,63.657070398330625,29.716367187500055,4.187499999999999,0.26455
2009-12-15,37.36,27.961084753274903,27.687382812500005,4.120253164556963,0.26555
2010-01-15,37.37,7.13624596595757,29.76779296875003,3.44989816700611,0.266
2010-02-15,37.34,21.98843300342559,27.822207031250002,4.217911975435005,0.27975
2010-03-15,37.32,45.784449130296636,22.070136718750007,4.713680781758958,0.31125
2010-04-15,37.42,36.058228611946056,16.66865234375001,5.345205479452057,0.34435
2010-05-15,37.38,33.01579722762104,11.57662109375002,5.880032206119164,0.3734
2010-06-15,37.28,20.022318810224498,8.157324218750034,6.507854137447406,0.43745
2010-07-15,37.37,32.37450626492498,6.986406250000016,7.104057971014493,0.49535
2010-08-15,37.43,60.679565191268864,8.02730468750002,8.267002518891688,0.5309
2010-09-15,37.43,48.490519523620605,11.352207031250032,11.595726495726495,0.5017
2010-10-15,37.32,51.92256689071648,18.985781250000002,9.990422535211266,0.4325
2010-11-15,37.38,58.41352343559261,23.866816406250052,7.525647348951911,0.30955
2010-12-15,37.35,108.9403173923492,24.685683593750014,6.3295404814004375,0.29745
2011-01-15,37.34,97.2864814996719,26.952167968750018,7.608144329896908,0.31545
2011-02-15,37.38,68.94907307624811,23.083125000000052,10.519338159255428,0.3497
2011-03-15,37.47,59.72728782892225,19.997792968750048,9.404781704781703,0.3591
2011-04-15,37.379999999999995,8.924046009778944,16.86564453125004,7.090149253731345,0.38975
2011-05-15,37.42,19.9428496062755,10.143125000000055,6.892,0.412
2011-06-15,37.42,20.753159075975375,8.280195312500041,6.550896551724138,0.4426
2011-07-15,37.48,27.106465280055936,7.399238281250007,6.703285714285714,0.48605
2011-08-15,37.32,43.89786279201505,10.983105468750011,9.266114649681528,0.513
2011-09-15,37.36,24.027684330940204,13.627226562500027,9.089947780678854,0.45325
2011-10-15,37.42,23.25458702445026,17.719882812500032,8.864556962025317,0.3658
2011-11-15,37.44,54.11776185035704,21.736679687500043,7.799553072625699,0.31865
2011-12-15,37.42,38.03589221835129,26.721523437500025,5.675760649087222,0.29815
2012-01-15,37.37,16.641927033662725,29.274746093750025,4.808165429480382,0.29465
2012-02-15,,39.98538941144942,26.710292968750025,5.3054171180931755,0.29435
2012-03-15,37.325,19.11742079257962,21.720214843750057,5.5576344086021505,0.3272
2012-04-15,37.36,8.454888761043529,18.106835937500023,4.889326556543838,0.35175
